,Activity Period,Operating Airline,Operating Airline IATA Code,GEO Region,Terminal,Boarding Area,Passenger Count,Year,Month,cluster,Activity Period,Operating Airline,GEO Region,Boarding Area,Passenger Count,Year,Month
156,200508,Delta Air Lines,DL,US,Terminal 1,C,97160,2005,August,1,200508,Delta Air Lines,US,C,44836,2005,August
157,200508,EVA Airways,BR,Asia,International,G,13524,2005,August,0,200508,EVA Airways,Asia,G,13524,2005,August
158,200508,EVA Airways,BR,Asia,International,G,11950,2005,August,0,200508,EVA Airways,Asia,G,11950,2005,August
159,200508,Frontier Airlines,F9,US,Terminal 1,B,17109,2005,August,0,200508,Frontier Airlines,US,B,17109,2005,August
160,200508,Frontier Airlines,F9,US,Terminal 1,B,17186,2005,August,0,200508,Frontier Airlines,US,B,17186,2005,August
161,200508,Hawaiian Airlines,HA,US,Terminal 1,C,7923,2005,August,0,200508,Hawaiian Airlines,US,C,7923,2005,August
162,200508,Hawaiian Airlines,HA,US,Terminal 1,C,7751,2005,August,0,200508,Hawaiian Airlines,US,C,7751,2005,August
163,200508,Horizon Air ,QX,US,Terminal 1,B,5572,2005,August,0,200508,Horizon Air ,US,B,5572,2005,August
164,200508,Horizon Air ,QX,US,Terminal 1,B,5268,2005,August,0,200508,Horizon Air ,US,B,5268,2005,August
165,200508,Icelandair,FI,Europe,International,A,4691,2005,August,0,200508,Icelandair,Europe,A,4691,2005,August
166,200508,Icelandair,FI,Europe,International,A,4355,2005,August,0,200508,Icelandair,Europe,A,4355,2005,August
167,200508,Independence Air,DH,US,International,A,9191,2005,August,0,200508,Independence Air,US,A,9191,2005,August
168,200508,Independence Air,DH,US,International,A,9850,2005,August,0,200508,Independence Air,US,A,9850,2005,August
169,200508,Japan Airlines,JL,Asia,International,A,9296,2005,August,0,200508,Japan Airlines,Asia,A,9296,2005,August
170,200508,Japan Airlines,JL,Asia,International,A,7913,2005,August,0,200508,Japan Airlines,Asia,A,7913,2005,August
171,200508,KLM Royal Dutch Airlines,KL,Europe,International,A,9666,2005,August,0,200508,KLM Royal Dutch Airlines,Europe,A,9666,2005,August
172,200508,KLM Royal Dutch Airlines,KL,Europe,International,A,9881,2005,August,0,200508,KLM Royal Dutch Airlines,Europe,A,9881,2005,August
173,200508,Korean Air Lines,KE,Asia,International,A,8856,2005,August,0,200508,Korean Air Lines,Asia,A,8856,2005,August
174,200508,Korean Air Lines,KE,Asia,International,A,7164,2005,August,0,200508,Korean Air Lines,Asia,A,7164,2005,August
175,200508,Lufthansa German Airlines,LH,Europe,International,G,21512,2005,August,0,200508,Lufthansa German Airlines,Europe,G,21512,2005,August
176,200508,Lufthansa German Airlines,LH,Europe,International,G,21881,2005,August,0,200508,Lufthansa German Airlines,Europe,G,21881,2005,August
177,200508,Mesa Airlines,YV,US,Terminal 1,B,2725,2005,August,0,200508,Mesa Airlines,US,B,2725,2005,August
178,200508,Mesa Airlines,YV,US,Terminal 1,B,2546,2005,August,0,200508,Mesa Airlines,US,B,2546,2005,August
179,200508,Mexicana Airlines,MX,Mexico,International,G,7156,2005,August,0,200508,Mexicana Airlines,Mexico,G,7156,2005,August
180,200508,Mexicana Airlines,MX,Mexico,International,G,5946,2005,August,0,200508,Mexicana Airlines,Mexico,G,5946,2005,August
181,200508,Midwest Airlines,YX,US,Terminal 1,A,1552,2005,August,0,200508,Midwest Airlines,US,A,1552,2005,August
182,200508,Midwest Airlines,YX,US,Terminal 1,A,3382,2005,August,0,200508,Midwest Airlines,US,A,3382,2005,August
183,200508,Northwest Airlines,NW,US,Terminal 1,C,56501,2005,August,1,200508,Northwest Airlines,US,C,44836,2005,August
184,200508,Northwest Airlines,NW,US,Terminal 1,C,56674,2005,August,1,200508,Northwest Airlines,US,C,44836,2005,August
185,200508,Northwest Airlines,NW,Asia,International,A,7107,2005,August,0,200508,Northwest Airlines,Asia,A,7107,2005,August
186,200508,Northwest Airlines,NW,Asia,International,A,6522,2005,August,0,200508,Northwest Airlines,Asia,A,6522,2005,August
187,200508,Philippine Airlines,PR,Asia,International,A,12856,2005,August,0,200508,Philippine Airlines,Asia,A,12856,2005,August
188,200508,Philippine Airlines,PR,Asia,International,A,8718,2005,August,0,200508,Philippine Airlines,Asia,A,8718,2005,August
189,200508,Singapore Airlines,SQ,Asia,International,G,19192,2005,August,0,200508,Singapore Airlines,Asia,G,19192,2005,August
190,200508,Singapore Airlines,SQ,Asia,International,G,17118,2005,August,0,200508,Singapore Airlines,Asia,G,17118,2005,August
191,200508,SkyWest Airlines,OO,US,Terminal 1,C,7052,2005,August,0,200508,SkyWest Airlines,US,C,7052,2005,August
192,200508,SkyWest Airlines,OO,US,Terminal 1,C,6652,2005,August,0,200508,SkyWest Airlines,US,C,6652,2005,August
193,200508,SkyWest Airlines,OO,US,Terminal 3,F,102899,2005,August,1,200508,SkyWest Airlines,US,F,44836,2005,August
194,200508,SkyWest Airlines,OO,US,Terminal 3,F,103188,2005,August,1,200508,SkyWest Airlines,US,F,44836,2005,August
195,200508,SkyWest Airlines,OO,Canada,Terminal 3,F,3672,2005,August,0,200508,SkyWest Airlines,Canada,F,3672,2005,August
196,200508,SkyWest Airlines,OO,Canada,Terminal 3,F,3570,2005,August,0,200508,SkyWest Airlines,Canada,F,3570,2005,August
197,200508,Sun Country Airlines,SY,US,Terminal 1,B,4720,2005,August,0,200508,Sun Country Airlines,US,B,4720,2005,August
198,200508,Sun Country Airlines,SY,US,Terminal 1,B,4717,2005,August,0,200508,Sun Country Airlines,US,B,4717,2005,August
199,200508,TACA,TA,Central America,International,G,7357,2005,August,0,200508,TACA,Central America,G,7357,2005,August
200,200508,TACA,TA,Central America,International,G,5128,2005,August,0,200508,TACA,Central America,G,5128,2005,August
201,200508,US Airways,US ,US,Terminal 1,A,42622,2005,August,1,200508,US Airways,US,A,42622,2005,August
202,200508,US Airways,US ,US,Terminal 1,A,44508,2005,August,1,200508,US Airways,US,A,44508,2005,August
203,200508,US Airways,US ,US,Terminal 1,B,40712,2005,August,1,200508,US Airways,US,B,40712,2005,August
204,200508,US Airways,US ,US,Terminal 1,B,40322,2005,August,1,200508,US Airways,US,B,40322,2005,August
205,200508,United Airlines,UA,US,Terminal 1,B,61872,2005,August,1,200508,United Airlines,US,B,44836,2005,August
206,200508,United Airlines,UA,US,Terminal 1,B,61768,2005,August,1,200508,United Airlines,US,B,44836,2005,August
207,200508,United Airlines - Pre 07/01/2013,UA,US,Terminal 3,E,55842,2005,August,1,200508,United Airlines - Pre 07/01/2013,US,E,44836,2005,August
208,200508,United Airlines - Pre 07/01/2013,UA,US,Terminal 3,E,27930,2005,August,1,200508,United Airlines - Pre 07/01/2013,US,E,27930,2005,August
209,200508,United Airlines - Pre 07/01/2013,UA,US,Terminal 3,E,56087,2005,August,1,200508,United Airlines - Pre 07/01/2013,US,E,44836,2005,August
210,200508,United Airlines - Pre 07/01/2013,UA,US,Terminal 3,E,26098,2005,August,0,200508,United Airlines - Pre 07/01/2013,US,E,26098,2005,August
211,200508,United Airlines - Pre 07/01/2013,UA,US,Terminal 3,E,676,2005,August,0,200508,United Airlines - Pre 07/01/2013,US,E,676,2005,August
212,200508,United Airlines - Pre 07/01/2013,UA,US,Terminal 3,F,420430,2005,August,1,200508,United Airlines - Pre 07/01/2013,US,F,44836,2005,August
